Ticker,Name,Exchange
4Q5D.DE,INAV DBXT MTRNES GB,GER
^R2HVOL,Russell 2000 Hi Volatility,WCB
^NQKR0001LMEURN,NASDAQ Korea Oil & Gas Large Mi,NIM
11542127.SG,MVIS PHILIPPINES PR,STU
^NQUSM5000AUDN,NQ US Md Cap Cnsmr Svcs AUD NTR,NIM
^NQEMEALCCADN,NASDAQ EMEA Large Cap CAD NTR I,NIM
^DJCMED,Dow Jones CME Spot FX$INDEX,DJI
29762309.SG,X5DALOEURSHUSDUSD,STU
UPRA.L,,
^NQDMXNACAD,NASDAQ DM Ex N America CAD Inde,NIM
WIZAF2730.FGI,FTSE ZAF - ELECTRON,FGI
^NQDMXUSXKRLMJPYN,Nasdaq DM Ex US Ex Korea Large ,NIM
^CTLXER3M,UBS Bloomberg CMCI Components Z,WCB
WDQF.DE,VSTOXX 240D,GER
^NQHK2000HKD,NASDAQ Hong Kong Inds HKD Index,NIM
SBRF1Y.SW,SBI FOR AAA Y,EBS
^HYCAD,CanStars Canadian High Yield Eq,NYS
^RMCGRGSHC,Russell Midcap Growth Health Ca,WCB
^SPXB350T,S&P 500 Bottom 350 TR,SNP
31551674.SG,CITIPURIUSLOSHTR,STU
^NQEMEA8000GBPT,NASDAQ EMEA Financials GBP TR I,NIM
^RALIEEUP,RAE Low Volatility Emerging Mar,SNP
^NQHK9000GBPT,NASDAQ Hong Kong Tech GBP TR In,NIM
^SP500-25201010,S&P 500 -Consumer Electronics (,SNP
^NQEM3300JPYT,NASDAQ Emerging Auto & Parts JP,NIM
PX1NR.NX,CAC40 NET TR,ENX
Q09I.Z,STXAM6UTI USD P,ZRH
31560421.SG,JPMEQRIPREUMOFACLOO,STU
^NQUSM3722N,NQ US Md Cap Durable Hhld Produ,NIM
^NQDMXNAXKRLMAUDT,Nasdaq DM Ex NA Ex Korea Large ,NIM
^NQHKEURT,NASDAQ Hong Kong EUR TR Index,NIM
^CIISOPEP,Citi Oil Price Pure Europe Inde,SNP
RNAXA.FGI,FTSE E/N AM REITSNT,FGI
^NQBRLCT,NASDAQ Brazil Large Cap TR Inde,NIM
^SPEEVUT,S&P Europe 350 Enhanced Value T,SNP
^NQUSB8530LMAUDN,NQ US  Nonlife Ins Large Mid Ca,NIM
FCNBCA2000.FGI,FTSE CNBC AS100IND ,FGI
^GRNWATERL,NASDAQ OMX Global Water,NIM
VK3L.PA,VK3L INDEX,PAR
^NQUSM7535CADN,NQ US Md Cap Cnvtnl Eltrcty CAD,NIM
^DJFEAS,Dow Jones FEAS Composite Index ,DJI
INSYQ.NX,EASY ETF TEC. VLI,ENX
^NQBRIC5000LMN,NASDAQ BRIC Cnsmr Svcs Large Mi,NIM
^YHOH796,,
