Ticker,Name,Exchange
JPYPLN=X,JPY/PLN,CCY
MYRBMD=X,MYR/BMD,CCY
KWDQAR=X,KWD/QAR,CCY
SGDCLP=X,SGD/CLP,CCY
EUR-TND.F,EUR/TND,FRA
BZDCHF=X,BZD/CHF,CCY
GBPRON=X,GBP/RON,CCY
AUDSAR=X,AUD/SAR,CCY
UYUARS=X,UYU/ARS,CCY
GBPNGN=X,GBP/NGN,CCY
MYRJOD=X,MYR/JOD,CCY
QARNZD=X,QAR/NZD,CCY
LKR=X,USD/LKR,CCY
SEKMYR=X,SEK/MYR,CCY
MXNXDR=X,MXN/XDR,CCY
QARCHF=X,QAR/CHF,CCY
GBPAOA=X,GBP/AOA,CCY
SEKIDR=X,SEK/IDR,CCY
ISKSGD=X,ISK/SGD,CCY
AEDTRY=X,AED/TRY,CCY
IEP=X,USD/IEP,CCY
11150067.DE,LONG-DAX INDEX,GER
SGDPEN=X,SGD/PEN,CCY
AUDBMD=X,AUD/BMD,CCY
MURKRW=X,MUR/KRW,CCY
BHDQAR=X,BHD/QAR,CCY
EUR-HTG.F,EUR/HTG,FRA
CHFETB=X,CHF/ETB,CCY
BWPCNH=X,BWP/CNH,CCY
THBOMR=X,THB/OMR,CCY
AOA=X,USD/AOA,CCY
PLNPHP=X,PLN/PHP,CCY
BRLGBP=X,BRL/GBP,CCY
NOKCNH=X,NOK/CNH,CCY
LKRMUR=X,LKR/MUR,CCY
MURLTL=X,MUR/LTL,CCY
VNDKRW=X,VND/KRW,CCY
ISKSAR=X,ISK/SAR,CCY
CADSZL=X,CAD/SZL,CCY
HUFRUB=X,HUF/RUB,CCY
HUFSEK=X,HUF/SEK,CCY
NZDCLP=X,NZD/CLP,CCY
EGPHUF=X,EGP/HUF,CCY
INRMYR=X,INR/MYR,CCY
BZDGBP=X,BZD/GBP,CCY
KESTRY=X,KES/TRY,CCY
CNYPHP=X,CNY/PHP,CCY
VEFMXN=X,VEF/MXN,CCY
RUBLTL=X,RUB/LTL,CCY
AUDAED=X,AUD/AED,CCY
881341.HE,FIM/EUR FIXING,HEL
MMK=X,USD/MMK,CCY
CNYZAR=X,CNY/ZAR,CCY
CLPARS=X,CLP/ARS,CCY
RUBMDL=X,RUB/MDL,CCY
ILSCHF=X,ILS/CHF,CCY
MXNAED=X,MXN/AED,CCY
PHPGBP=X,PHP/GBP,CCY
JPYZAR=X,JPY/ZAR,CCY
EURIQD=X,EUR/IQD,CCY
TNDSAR=X,TND/SAR,CCY
MVRGBP=X,MVR/GBP,CCY
EUR-BGN.F,EUR/BGN,FRA
ILSNZD=X,ILS/NZD,CCY
BHD=X,USD/BHD,CCY
BSDGBP=X,BSD/GBP,CCY
SARJOD=X,SAR/JOD,CCY
GBPSRD=X,GBP/SRD,CCY
LTLEUR=X,LTL/EUR,CCY
KRWNOK=X,KRW/NOK,CCY
CADDOP=X,CAD/DOP,CCY
TRYISK=X,TRY/ISK,CCY
LVLILS=X,LVL/ILS,CCY
CADMZN=X,CAD/MZN,CCY
THBBHD=X,THB/BHD,CCY
CZKVEF=X,CZK/VEF,CCY
EUR-AMD.F,EUR/AMD,FRA
CNYLVL=X,CNY/LVL,CCY
CADLTL=X,CAD/LTL,CCY
CNYRUB=X,CNY/RUB,CCY
GBPSYP=X,GBP/SYP,CCY
EURRON=X,EUR/RON,CCY
TWDIDR=X,TWD/IDR,CCY
COPPYG=X,COP/PYG,CCY
MXNQAR=X,MXN/QAR,CCY
CZKKES=X,CZK/KES,CCY
OCEF.EX,EUR/CHF,EUX
GBPMVR=X,GBP/MVR,CCY
EURYER=X,EUR/YER,CCY
KWDPKR=X,KWD/PKR,CCY
BRLPEN=X,BRL/PEN,CCY
19754264.SW,SILBER 999/1000    ,EBS
CADMYR=X,CAD/MYR,CCY
EUR-MMK.F,EUR/MMK,FRA
RUBTJS=X,RUB/TJS,CCY
BWPTOP=X,BWP/TOP,CCY
HRKMKD=X,HRK/MKD,CCY
GBPMNT=X,GBP/MNT,CCY
CDF=X,USD/CDF,CCY
EURMMK=X,EUR/MMK,CCY
DKKKPW=X,DKK/KPW,CCY
EURGTQ=X,EUR/GTQ,CCY
DJFEUR=X,DJF/EUR,CCY
VUVPEN=X,VUV/PEN,CCY
ANGCHF=X,ANG/CHF,CCY
MYRCAD=X,MYR/CAD,CCY
PHPMAD=X,PHP/MAD,CCY
